taxon	from	to	parent	children	notes	level	asterisk	is_collapsed	is_root	is_tip	is_node
casuariiformes	-23	-0	palaeognathae	NA	cassowarys and emus	NA	FALSE	FALSE	FALSE	TRUE	FALSE
catarrhini	-35	-0	simiiformes	hominoidea, cercopithecidae	'Down nosed'. Old World monkeys.	tribe	TRUE	FALSE	FALSE	FALSE	TRUE
centrosaurus	-76.5	-75.5	ceratopsidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ceratopsia	-161	-66	marginocephalia	ceratopsidae, protoceratops, psittacosaurus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
ceratopsidae	-90	-66	ceratopsia	centrosaurus, chasmosaurus, diabloceratops, pachyrhinosaurus, styracosaurus, triceratops	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
ceratosauria	-199.3	-66	theropoda	abelisauridae, ceratosaurus, noasauridae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
ceratosaurus	-153	-148	ceratosauria	NA	'Horn lizard', USA. Ridge-like horn on midline of snout. Pair of horns over the eyes. Forelimbs short but fully functional.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
cercopithecidae	-30	-0	catarrhini	NA	NA	family	TRUE	FALSE	FALSE	TRUE	FALSE
cetacea	-56	-0	artiodactyla	ambulocetus, basilosauridae, mysticeti, odontoceti, pakicetus, rodhocetus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
cetiosauridae	-178	-161	sauropoda	cetiosaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
cetiosaurus	-170	-164.7	cetiosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
chalicotheriidae	-48.6	-1.806	perissodactyla	chalicotherium, moropus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
chalicotherium	-14	-5	chalicotheriidae	NA	'Gravel beast'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
chamaeleonidae	-26	-0	squamata	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
chasmosaurus	-77	-76	ceratopsidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
chiroptera	-56	-0	laurasiatheria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
chondrichthyes	-439	-0	gnathostomata	elasmobranchii	cartilaginous fish	class	FALSE	FALSE	FALSE	FALSE	TRUE
cingulata	-58.7	-0	xenarthra	glyptodontinae	armadillos	NA	FALSE	FALSE	FALSE	FALSE	TRUE
coelodonta	-3.7	-0.014	rhinocerotidae	NA	'Hollow tooth'. Eurasia. Type species: C. antiquitatis = 'the woolly rhinoceros'	genus	FALSE	FALSE	FALSE	TRUE	FALSE
coelophysis	-215	-208.5	coelophysoidea	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
coelophysoidea	-227	-183	theropoda	coelophysis, dilophosaurus	NA	superfamily	FALSE	FALSE	FALSE	FALSE	TRUE
coelurosauria	-170	-0	tetanurae	compsognathidae, maniraptora, ornitholestes, ornithomimosauria, tyrannosauroidea	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
compsognathidae	-151.5	-108	coelurosauria	compsognathus, sinosauropteryx	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
