taxon	from	to	parent	children	notes	level	asterisk	is_collapsed	is_root	is_tip	is_node
poposauroidea	-248	-201.3	pseudosuchia	ctenosauriscidae, lotosaurus, poposauridae, shuvosauridae	NA	superfamily	FALSE	FALSE	FALSE	FALSE	TRUE
poposaurus	-237	-216	poposauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
postosuchus	-237	-201.4	rauisuchia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
prestosuchidae	-247	-225	pseudosuchia	prestosuchus, saurosuchus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
prestosuchus	-242	-235	prestosuchidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
primates	-65.9	-0	euarchontoglires	strepsirrhini, haplorhini	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
prionosuchus	-299	-272	archegosauridae	NA	Similar in appearance to modern gharial (Gavialis). Holotype total body length estimated to be > 5.5 m, skull estimated to be 50 cm.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
proboscidea	-60	-0	afrotheria	phiomia, moeritherium, deinotheriidae, gomphotheriidae, mammutidae, stegodontidae, elephantidae, amebelodontidae	NA	order	FALSE	FALSE	FALSE	FALSE	TRUE
prognathodon	-83.6	-66	mosasauria	NA	'Forejaw tooth'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
proterosuchidae	-252	-247	archosauriformes	NA	'First crocodiles'.	family	FALSE	FALSE	FALSE	TRUE	FALSE
protoceratops	-75	-71	ceratopsia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
pseudosuchia	-248	-0	archosauria	aetosauria, batrachotomus, crocodylomorpha, gracilisuchidae, ornithosuchidae, phytosauria, poposauroidea, prestosuchidae, rauisuchia, fasolasuchus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
psittacosaurus	-125	-105	ceratopsia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
pteranodon	-86	-84.5	ornithocheiroidea	NA	Name comes from 'wing' and 'toothless'. North America.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
pterodactyloidea	-162.7	-66	pterosauria	ornithocheiroidea, pterodactylus, tapejaridae	NA	superfamily	FALSE	FALSE	FALSE	FALSE	TRUE
pterodactylus	-150.8	-148.5	pterodactyloidea	NA	'Winged finger'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
pterosauria	-228	-66	avemetatarsalia	dimorphodon, rhamphorhynchidae, pterodactyloidea	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
pyroraptor	-72	-72	eudromaeosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
quetzalcoatlus	-68	-66	azhdarchidae	NA	Name refers to the Aztec serpent god of the sky.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
rauisuchia	-240	-200	pseudosuchia	postosuchus, rauisuchus, polonosuchus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
rauisuchus	-235	-228	rauisuchia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
reptiliomorpha	-340	-0	tetrapoda	amniota, diadectidae, seymouriamorpha	'Reptile-shaped'.	NA	FALSE	FALSE	FALSE	FALSE	TRUE
rhamphorhynchidae	-182	-148.5	pterosauria	rhamphorhynchus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
rhamphorhynchus	-150.8	-148.5	rhamphorhynchidae	NA	'beak snout'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
rheidae	-56	-0	palaeognathae	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
rhinocerotidae	-40	-0	rhinocerotoidea	elasmotherium, coelodonta	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
rhinocerotoidea	-58	-0	perissodactyla	paraceratheriidae, rhinocerotidae	NA	superfamily	FALSE	FALSE	FALSE	FALSE	TRUE
rhinotitan	-48	-37.8	brontotheriidae	NA	Mongolia.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
rhynchocephalia	-240	-0	lepidosauromorpha	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
rhynchosauria	-251.5	-225	archosauromorpha	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
rodentia	-59	-0	euarchontoglires	josephoartigasia	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
rodhocetus	-47	-46	cetacea	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
rubidgea	-257	-254	gorgonopsia	NA	South Africa and Tanzania.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
rugops	-95	-95	abelisauridae	NA	'Wrinkle face'. Africa.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
saltasauridae	-85.8	-66	titanosauria	alamosaurus, saltasaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
saltasaurus	-70	-68	saltasauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
sarcopterygii	-425	-0	osteichthyes	tetrapodomorpha	lobe-finned fish	NA	FALSE	FALSE	FALSE	FALSE	TRUE
sarcosuchus	-133	-112	pholidosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
sauria	-265.8	-0	diapsida	archelosauria, lepidosauromorpha	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
saurischia	-237	-0	dinosauria	sauropodomorpha, theropoda	'Lizard hip'.	NA	TRUE	FALSE	FALSE	FALSE	TRUE
sauropelta	-108.5	-108.5	nodosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
sauropoda	-228	-66	sauropodomorpha	brachiosauridae, camarasaurus, cetiosauridae, diplodocidae, euhelopodidae, mamenchisauridae, titanosauria, vulcanodontidae, sauroposeidon	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
sauropodomorpha	-235	-66	saurischia	massospondylidae, plateosaurus, sauropoda, thecodontosaurus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
sauroposeidon	-118	-110	sauropoda	NA	'Lizard earthquake god', after Greek god Poseidon. USA.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
sauropsida	-311	-0	amniota	eureptilia, parareptilia	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
sauropterygia	-255	-66	archosauromorpha	nothosauroidea, pachypleurosauria, pistosauroidea, placodontia	'Lizard flippers'.	NA	FALSE	FALSE	FALSE	FALSE	TRUE
saurosuchus	-231.4	-225	prestosuchidae	NA	'Lizard crocodile'.	NA	FALSE	FALSE	FALSE	TRUE	FALSE
scansoriopterygidae	-165	-156	paraves	epidexipteryx, scansoriopteryx	'climbing wings', China	family	FALSE	FALSE	FALSE	FALSE	TRUE
scansoriopteryx	-165	-156	scansoriopterygidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
scelidosaurus	-196.5	-183	thyreophora	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
sebecidae	-67.6	-11.8	notosuchia	barinasuchus, sebecus	the latest surviving group of non-crocodilian crocodylomorphs	family	FALSE	FALSE	FALSE	FALSE	TRUE
sebecus	-59.4	-37.2	sebecidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
serpentes	-94	-0	squamata	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
seymouria	-295	-295	seymouriamorpha	NA	Named after the town of Seymour, Texas.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
seymouriamorpha	-305	-295	reptiliomorpha	seymouria	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
shantungosaurus	-85	-75	hadrosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
shastasaurus	-235	-205.6	ichthyosauromorpha	NA	'Mount Shasta lizard'. North America, China.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
shonisaurus	-227	-227	ichthyosauromorpha	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
shuvosauridae	-235	-201.3	poposauroidea	sillosuchus	Bipedal, lacked sails, had toothless beaks, presumed herbivorous	family	FALSE	FALSE	FALSE	FALSE	TRUE
siderops	-176.6	-176.6	stereospondyli	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
sillosuchus	-235	-221.5	shuvosauridae	NA	South America.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
simbakubwa	-23	-22	hyaenodontidae	NA	'Great lion'. Kenya.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
simiiformes	-40	-0	haplorhini	platyrrhini, catarrhini	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
simosaurus	-240	-230	nothosauroidea	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
simosuchus	-70	-66	notosuchia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
sinornithosaurus	-124.6	-122	microraptoria	NA	'Chinese bird-lizard'	genus	FALSE	FALSE	FALSE	TRUE	FALSE
sinosauropteryx	-124.6	-122	compsognathidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
sinraptor	-160	-160	metriacanthosauridae	NA	'Chinese thief'	genus	FALSE	FALSE	FALSE	TRUE	FALSE
sirenia	-55.8	-0	afrotheria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
sivatherium	-7	-0.8	giraffidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
smilodon	-2.5	-0.01	machairodontinae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
smilosuchus	-221.5	-205.6	phytosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
sparassodonta	-66	-2.58	metatheria	borhyaenidae, thylacosmilidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
sphenacodon	-300	-280	sphenacodontidae	NA	'Wedge point tooth'. Low dorsal crest insted of a tall dorsal sail.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
sphenacodontia	-304	-0	synapsida	sphenacodontidae, therapsida	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
sphenacodontidae	-302	-272	sphenacodontia	dimetrodon, sphenacodon	'Wedge point tooth'.  North America, Europe. Carnivorous 'pelycosaurs'	family	FALSE	FALSE	FALSE	FALSE	TRUE
sphenosuchia	-228	-152	crocodylomorpha	sphenosuchus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
sphenosuchus	-195	-195	sphenosuchia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
spinosauridae	-139	-94	megalosauroidea	baryonyx, irritator, spinosaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
spinosaurus	-100	-94	spinosauridae	NA	'spine lizard', North Africa	NA	FALSE	FALSE	FALSE	TRUE	FALSE
squamata	-168	-0	lepidosauromorpha	chamaeleonidae, gekkota, mosasauria, serpentes, varanidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
stagodontidae	-92	-66	metatheria	didelphodon	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
staurikosaurus	-233.23	-228	herrerasauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
stegodon	-11.6	-0.01	stegodontidae	NA	'Roofed tooth'. Africa, Asia. Distinctive molar ridges.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
stegodontidae	-17.3	-0.01	proboscidea	stegodon	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
stegosauria	-169	-100.5	thyreophora	dacentrurus, kentrosaurus, stegosaurus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
stegosaurus	-155	-145	stegosauria	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
stereospondyli	-272.95	-120	temnospondyli	metoposaurus, koolasuchus, siderops	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
stokesosaurus	-156.5	-150	tyrannosauroidea	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
strepsirrhini	-61	-0	primates	adapiformes, lemuriformes	Aka 'wet-nosed'.	tribe	TRUE	FALSE	FALSE	FALSE	TRUE
struthiomimus	-77	-66	ornithomimidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
struthionidae	-21	-0	palaeognathae	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
styracosaurus	-75.5	-74.5	ceratopsidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
suina	-33.9	-0	artiodactyla	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
synapsida	-318	-0	amniota	caseasauria, edaphosauridae, ophiacodontidae, sphenacodontia, varanopidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
tachyglossidae	-5.333	-0	monotremata	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
tanystropheus	-247	-237	archosauromorpha	NA	'Long hinged'. Extremely long neck - longer than torso and tail combined.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
tapejara	-112	-112	tapejaridae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
tapejaridae	-125	-85	pterodactyloidea	tapejara, tupandactylus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
tarbosaurus	-70	-68	tyrannosauridae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
tarsiidae	-45	-0	tarsiiformes	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
tarsiiformes	-58	-0	haplorhini	archicebus, tarsiidae	NA	NA	TRUE	FALSE	FALSE	FALSE	TRUE
tawa	-215	-215	theropoda	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
teleosauridae	-183	-145	thalattosuchia	teleosaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
teleosaurus	-171	-164	teleosauridae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
temnospondyli	-330	-120	tetrapoda	archegosauridae, eryops, lissamphibia, stereospondyli	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
tenontosaurus	-115	-108	ornithopoda	NA	'Sinew lizard'. North America	genus	FALSE	FALSE	FALSE	TRUE	FALSE
testudinata	-210	-0	pantestudines	archelon	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
tetanurae	-201	-0	theropoda	carnosauria, coelurosauria, megalosauroidea	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
tetrapoda	-360	-0	tetrapodomorpha	lepospondyli, reptiliomorpha, temnospondyli	'Four foot'.	superclass	FALSE	FALSE	FALSE	FALSE	TRUE
tetrapodomorpha	-409	-0	sarcopterygii	eusthenopteron, panderichthys, elginerpeton, tiktaalik, acanthostega, ichthyostega, tetrapoda	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
thalattosauria	-247	-201.4	archosauromorpha	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
thalattosuchia	-201	-100	crocodylomorpha	metriorhynchidae, teleosauridae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
thalattosuchus	-166	-160	metriorhynchidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
thecodontosaurus	-234	-234	sauropodomorpha	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
therapsida	-285	-0	sphenacodontia	dicynodontia, dinocephalia, theriodontia, biarmosuchia	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
theria	-130	-0	mammalia	eutheria, metatheria	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
theriodontia	-275	-0	therapsida	cynodontia, gorgonopsia, therocephalia	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
therizinosauridae	-100	-66	maniraptora	therizinosaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
therizinosaurus	-70	-70	therizinosauridae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
therocephalia	-266	-242	theriodontia	NA	'beast head'.	NA	FALSE	FALSE	FALSE	TRUE	FALSE
theropoda	-236	-0	saurischia	ceratosauria, coelophysoidea, eodromaeus, eoraptor, herrerasauridae, tawa, tetanurae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
thrinaxodon	-252	-247	cynodontia	NA	'Trident tooth'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
thylacinidae	-28	-8e-5	marsupalia	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
thylacoleonidae	-27	-0.0117	marsupalia	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
thylacosmilidae	-21	-3	sparassodonta	thylacosmilus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
thylacosmilus	-9	-3	thylacosmilidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
thyreophora	-200.91	-66	ornithischia	ankylosauria, scelidosaurus, stegosauria	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
tiktaalik	-375	-375	tetrapodomorpha	NA	Name means 'large freshwater fish' in Inuktitut. Canada.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
titanis	-5	-1.8	phorusrhacidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
titanophoneus	-268	-265	dinocephalia	NA	'Titanic murderer'	genus	FALSE	FALSE	FALSE	TRUE	FALSE
titanosauria	-140	-66	sauropoda	argentinosaurus, dreadnoughtus, patagotitan, saltasauridae, paralititan	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
torvosaurus	-165	-148	megalosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
triceratops	-68	-66	ceratopsidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
troodon	-77.5	-76.5	troodontidae	NA	'wounding tooth', USA (Montana)	NA	FALSE	FALSE	FALSE	TRUE	FALSE
troodontidae	-150	-66	deinonychosauria	troodon	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
tropeognathus	-112	-112	ornithocheiridae	NA	'Keel jaw'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
tupandactylus	-112	-112	tapejaridae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
tylopoda	-40	-0	artiodactyla	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
tylosaurus	-92.1	-66	mosasauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
tyrannosauridae	-81.9	-66	eutyrannosauria	albertosaurus, gorgosaurus, alioramus, daspletosaurus, tarbosaurus, tyrannosaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
tyrannosauroidea	-166	-66	coelurosauria	dilong, eotyrannus, megaraptora, stokesosaurus, yutyrannus, guanlong, juratyrant, eutyrannosauria	NA	superfamily	FALSE	FALSE	FALSE	FALSE	TRUE
tyrannosaurus	-72.7	-66	tyrannosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
tyrannotitan	-113	-100.5	carcharodontosauridae	NA	'tyrant titan', Argentina	NA	FALSE	FALSE	FALSE	TRUE	FALSE
uintatherium	-56	-34	laurasiatheria	NA	USA, China	genus	FALSE	FALSE	FALSE	TRUE	FALSE
urodela	-168	-0	lissamphibia	NA	'Tailed ones'. Newts and salamanders.	order	FALSE	FALSE	FALSE	TRUE	FALSE
ursidae	-38	-0	carnivora	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
utahraptor	-139	-134.6	eudromaeosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
vancleavea	-228	-201.3	archosauriformes	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
varanidae	-80	-0	squamata	varanus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
varanopidae	-309	-260	synapsida	NA	Resembled monitor lizards.	family	FALSE	FALSE	FALSE	TRUE	FALSE
varanus	-20	-0	varanidae	NA	Includes V. komodoensis and V. priscus aka Megalania.	genus	TRUE	FALSE	FALSE	TRUE	FALSE
velociraptor	-75	-71	eudromaeosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
vulcanodontidae	-199	-175	sauropoda	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
xenarthra	-60	-0	placentalia	cingulata, pilosa	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
yutyrannus	-125	-125	tyrannosauroidea	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
zalmoxes	-70	-66	ornithopoda	NA	Romania. Name after the Dacian deity Zalmoxis.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
